submission_pk,User,RMSE,RMSE@10,RMSE@20,RMSE@30,RMSE@40
517297,aa,0.51942 (1),0.86123 (39),0.72373 (42),0.63351 (44),0.57022 (45),
517365,Ferryman,0.52439 (2),0.86303 (38),0.72616 (40),0.63692 (41),0.57425 (44),
510461,Pramodith,0.52487 (3),0.83258 (44),0.70269 (46),0.62103 (46),0.56800 (46),
524284,BramVanroy,0.52512 (4),0.85558 (40),0.72646 (39),0.63472 (42),0.57494 (43),
511243,will_go,0.52763 (5),0.87865 (35),0.73695 (38),0.64476 (39),0.57956 (40),
520028,kevintest,0.53102 (6),0.84913 (41),0.72059 (43),0.63394 (43),0.57746 (41),
519319,yangst,0.53254 (7),0.83553 (43),0.71184 (44),0.62985 (45),0.57652 (42),
508039,rtdesetty,0.53990 (8),0.87542 (36),0.74341 (35),0.65224 (36),0.58978 (38),
506929,ron.chatt,0.53990 (9),0.87542 (36),0.74341 (36),0.65224 (35),0.58978 (37),
513085,jtoma,0.54071 (10),0.86874 (37),0.73787 (37),0.64937 (37),0.58905 (39),
509393,jedismot,0.54170 (11),0.89601 (33),0.75098 (34),0.65988 (34),0.59331 (35),
528728,serjtroshin,0.54428 (12),0.90258 (31),0.75815 (31),0.66289 (33),0.59653 (34),
529424,npopova,0.54455 (13),0.89705 (32),0.75769 (32),0.66492 (31),0.59907 (32),
529052,umanetz.k,0.54500 (14),0.89512 (34),0.75605 (33),0.66449 (32),0.59907 (31),
521267,zniu,0.54982 (15),0.91411 (30),0.76439 (30),0.67107 (30),0.60364 (30),
511619,peiran,0.55001 (16),0.92008 (28),0.77200 (29),0.67448 (29),0.60576 (29),
520137,Suihan,0.55152 (17),0.84614 (42),0.72470 (41),0.64569 (38),0.58979 (36),
529177,anniesss1,0.55729 (18),0.93603 (27),0.78745 (27),0.68825 (27),0.61548 (28),
499446,grekislife,0.56295 (19),0.82371 (45),0.70935 (45),0.63821 (40),0.59758 (33),
512151,aapanaetov,0.56317 (20),0.95033 (26),0.80035 (26),0.69918 (26),0.62330 (26),
518908,prateekgupta2533,0.56390 (21),0.91761 (29),0.77821 (28),0.68634 (28),0.61703 (27),
512160,PeterZhizhin,0.56487 (22),0.95698 (25),0.80135 (25),0.70006 (25),0.62503 (25),
522379,marian_ald,0.56634 (23),0.96292 (21),0.80655 (24),0.70386 (24),0.62734 (24),
529048,lenochka,0.56955 (24),0.95768 (24),0.80693 (23),0.70462 (23),0.62988 (23),
529535,appuzanova,0.57065 (25),0.96005 (23),0.80872 (22),0.70775 (22),0.63121 (22),
529513,popoeltro,0.57121 (26),0.97808 (18),0.82077 (19),0.71460 (19),0.63501 (19),
511623,julia-trofim,0.57128 (27),0.97157 (20),0.81584 (20),0.71193 (20),0.63393 (20),
524341,Muntaha,0.57220 (28),0.98696 (15),0.82329 (16),0.71590 (18),0.63616 (18),
520000,AAARRRR,0.57223 (29),0.98605 (16),0.82320 (17),0.71600 (17),0.63623 (17),
508578,granilace,0.57308 (30),0.96229 (22),0.81209 (21),0.70996 (21),0.63272 (21),
529337,Enas,0.57457 (31),0.99283 (13),0.82881 (14),0.71972 (14),0.63893 (15),
521103,funny3,0.57519 (32),0.97631 (19),0.82158 (18),0.71626 (16),0.63771 (16),
524565,Farah,0.57519 (33),0.98567 (17),0.82485 (15),0.71797 (15),0.63903 (14),
521069,TLau,0.57770 (34),1.00002 (12),0.83569 (12),0.72576 (12),0.64297 (13),
529349,aagafiyatullina,0.57840 (35),1.00394 (7),0.83760 (8),0.72726 (9),0.64419 (9),
524131,allenchen,0.57840 (35),1.00394 (7),0.83760 (8),0.72726 (9),0.64419 (9),
521670,ttzhang,0.57840 (35),1.00394 (7),0.83760 (8),0.72726 (9),0.64419 (9),
509474,wonderful_tonight,0.57840 (35),1.00394 (7),0.83760 (8),0.72726 (9),0.64419 (9),
506815,nabilhossain,0.57840 (35),1.00394 (7),0.83760 (8),0.72726 (9),0.64419 (9),
514011,Malak-AG,0.57842 (36),1.00335 (8),0.83725 (10),0.72706 (11),0.64412 (11),
525874,unituebingenCL,0.57854 (37),1.00258 (10),0.83681 (11),0.72715 (10),0.64417 (10),
528773,xiliconcarne,0.57906 (38),1.00468 (6),0.83856 (7),0.72795 (7),0.64478 (7),
507344,milkstout,0.57976 (39),1.00249 (11),0.83737 (9),0.72753 (8),0.64476 (8),
515870,HonoMi,0.57977 (40),0.99082 (14),0.83023 (13),0.72386 (13),0.64356 (12),
514421,utopiaisnotreal,0.58384 (41),1.01128 (5),0.84379 (5),0.73375 (5),0.64945 (6),
528227,Raghavan,0.58592 (42),1.00297 (9),0.84050 (6),0.73141 (6),0.65026 (5),
528078,heidy,0.61256 (43),1.02681 (3),0.86806 (3),0.75545 (4),0.67577 (4),
522415,wnlckwd,0.62638 (44),1.01384 (4),0.86785 (4),0.76482 (3),0.68706 (3),
509521,Kayal_Sampath,0.76641 (45),1.06492 (2),0.93625 (2),0.86257 (2),0.80682 (2),
517100,exile025,0.79572 (46),1.18865 (1),1.02972 (1),0.92673 (1),0.85113 (1),
submission_pk,User,Accuracy,Reward
511619,peiran,- (-),,
528773,xiliconcarne,- (-),,
511623,julia-trofim,- (-),,
522379,marian_ald,- (-),,
521103,funny3,- (-),,
529424,npopova,- (-),,
524565,Farah,- (-),,
519319,yangst,- (-),,
529048,lenochka,- (-),,
529177,anniesss1,- (-),,
529052,umanetz.k,- (-),,
515870,HonoMi,- (-),,
512160,PeterZhizhin,- (-),,
509474,wonderful_tonight,- (-),,
506929,ron.chatt,- (-),,
508039,rtdesetty,- (-),,
522415,wnlckwd,- (-),,
517297,aa,- (-),,
525874,unituebingenCL,- (-),,
521267,zniu,- (-),,
524341,Muntaha,- (-),,
529337,Enas,- (-),,
512151,aapanaetov,- (-),,
513085,jtoma,- (-),,
514421,utopiaisnotreal,- (-),,
520000,AAARRRR,- (-),,
511243,will_go,- (-),,
529349,aagafiyatullina,- (-),,
521670,ttzhang,- (-),,
520137,Suihan,- (-),,
508578,granilace,- (-),,
528078,heidy,- (-),,
507344,milkstout,- (-),,
509521,Kayal_Sampath,- (-),,
524131,allenchen,- (-),,
528728,serjtroshin,- (-),,
514011,Malak-AG,- (-),,
520028,kevintest,- (-),,
528227,Raghavan,- (-),,
518908,prateekgupta2533,- (-),,
509393,jedismot,- (-),,
529513,popoeltro,- (-),,
517100,exile025,- (-),,
521069,TLau,- (-),,
517365,Ferryman,- (-),,
499446,grekislife,- (-),,
506815,nabilhossain,- (-),,
524284,BramVanroy,- (-),,
510461,Pramodith,- (-),,
529535,appuzanova,- (-),,
